country_ch,country_en,cases,deaths
美國,United States,"102,717,337","1,143,992"
印度,India,"44,689,072","530,776"
法國,France,"39,661,650","165,135"
德國,Germany,"38,241,231","168,808"
巴西,Brazil,"37,085,520","699,310"
日本,Japan,"33,298,296","72,989"
韓國,South Korea,"30,605,187","34,081"
義大利,Italy,"25,603,510","188,322"
英國,United Kingdom,"24,370,154","206,952"
俄羅斯,Russia,"22,388,556","396,463"
土耳其,Turkey,"17,042,722","101,492"
西班牙,Spain,"13,770,429","119,479"
越南,Vietnam,"11,527,012","43,186"
澳洲,Australia,"11,385,534","19,459"
臺灣,Taiwan,"10,143,788","18,371"
阿根廷,Argentina,"10,044,957","130,472"
荷蘭,Netherlands,"8,600,120","22,992"
伊朗,Iran,"7,571,996","144,922"
墨西哥,Mexico,"7,479,635","333,170"
印尼,Indonesia,"6,738,225","160,941"
波蘭,Poland,"6,444,960","119,010"
哥倫比亞,Colombia,"6,360,780","142,639"
奧地利,Austria,"5,961,143","21,970"
希臘,Greece,"5,871,458","36,185"
葡萄牙,Portugal,"5,570,473","26,266"
烏克蘭,Ukraine,"5,399,231","111,298"
智利,Chile,"5,192,286","64,273"
馬來西亞,Malaysia,"5,044,718","36,967"
以色列,Israel,"4,803,833","12,329"
泰國,Thailand,"4,728,182","33,918"
比利時,Belgium,"4,727,795","33,775"
捷克,Czech Republic,"4,618,256","42,491"
加拿大,Canada,"4,600,615","51,447"
秘魯,Peru,"4,487,266","219,538"
瑞士,Switzerland,"4,413,911","14,038"
菲律賓,Philippines,"4,077,452","66,188"
南非,South Africa,"4,067,067","102,595"
羅馬尼亞,Romania,"3,346,046","67,736"
丹麥,Denmark,"3,222,451","8,345"
香港,Hong Kong,"2,883,851","13,467"
瑞典,Sweden,"2,699,339","23,777"
塞爾維亞,Serbia,"2,500,142","17,881"
伊拉克,Iraq,"2,465,545","25,375"
新加坡,Singapore,"2,234,996","1,722"
匈牙利,Hungary,"2,196,804","48,762"
紐西蘭,New Zealand,"2,176,499","2,548"
孟加拉,Bangladesh,"2,037,871","29,445"
斯洛伐克,Slovakia,"1,863,865","21,035"
喬治亞,Georgia,"1,827,537","16,971"
約旦,Jordan,"1,746,997","14,122"
愛爾蘭,Ireland,"1,703,850","8,691"
巴基斯坦,Pakistan,"1,577,339","30,644"
挪威,Norway,"1,479,453","5,213"
芬蘭,Finland,"1,463,644","8,967"
哈薩克,Kazakhstan,"1,408,124","13,846"
斯洛維尼亞,Slovenia,"1,331,707","7,077"
立陶宛,Lithuania,"1,307,448","9,596"
保加利亞,Bulgaria,"1,297,451","38,225"
摩洛哥,Morocco,"1,272,490","16,296"
克羅埃西亞,Croatia,"1,269,326","17,987"
瓜地馬拉,Guatemala,"1,238,049","20,182"
黎巴嫩,Lebanon,"1,232,828","10,841"
哥斯大黎加,Costa Rica,"1,209,725","9,245"
玻利維亞,Bolivia,"1,194,187","22,365"
突尼西亞,Tunisia,"1,151,126","29,341"
古巴,Cuba,"1,112,643","8,530"
厄瓜多,Ecuador,"1,057,121","36,014"
阿拉伯聯合大公國,UAE,"1,053,068","2,349"
烏拉圭,Uruguay,"1,034,303","7,617"
巴拿馬,Panama,"1,031,731","8,609"
尼泊爾,Nepal,"1,001,154","12,020"
白俄羅斯,Belarus,"994,037","7,118"
拉脫維亞,Latvia,"976,228","6,250"
沙烏地阿拉伯,Saudi Arabia,"830,127","9,618"
